student_pk,person_uid,profile_academic_year,profile_academic_year_desc,profile_academic_period_desc,profile_college,profile_college_desc,profile_residence,profile_residence_desc,profile_high_school_percentile,profile_highest_sat_math,profile_highest_sat_writing,profile_highest_sat_crit_read,profile_highest_act_english,profile_highest_act_math,profile_highest_act_reading,profile_highest_act_sci_reason,profile_highest_act_composite,profile_highest_act_englwrit
5234,1488964,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,,,,,29,35,28,31,31,27
5436,1534227,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,F,Foreign,,780,530,550,,,,,,
549,1478329,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,,490,500,530,23,19,18,23,21,23
5676,1514754,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,N,Non-Resident,,570,540,610,21,24,27,27,25,21
3542,1502331,2016,Academic Year 2015-2016,Fall 2015,AE,School of Aero and Astro Engr,N,Non-Resident,88,650,640,670,33,27,34,24,29,30
6767,1514584,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,F,Foreign,,770,650,630,,,,,,
6067,1513697,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,N,Non-Resident,,700,720,690,27,30,33,25,29,26
2602,1433442,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,F,Foreign,,770,650,620,,,,,,
2174,1415005,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,82,,,,34,27,31,29,30,29
4532,1501089,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,N,Non-Resident,,,,,29,31,33,29,31,27
6512,1514084,2016,Academic Year 2015-2016,Fall 2015,AE,School of Aero and Astro Engr,N,Non-Resident,,,,,28,32,30,29,30,26
4188,1539012,2016,Academic Year 2015-2016,Fall 2015,ME,School of Mechanical Engr,F,Foreign,,690,700,610,,,,,,
495,1464195,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,N,Non-Resident,,,,,28,32,30,30,30,26
1167,1436050,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,90,500,510,620,22,27,31,28,27,20
3670,1502869,2016,Academic Year 2015-2016,Fall 2015,EC,School of Elec & Computer Engr,F,Foreign,,720,580,520,,,,,,
970,1386089,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,95,450,470,480,,,,,,
966,1468721,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,,580,640,550,29,28,24,24,26,25
6550,1489962,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,87,580,480,490,,,,,,
4314,1491258,2016,Academic Year 2015-2016,Fall 2015,CE,School of Civil Engineering,N,Non-Resident,,680,620,670,,,,,,
4822,1522621,2016,Academic Year 2015-2016,Fall 2015,CH,School of Chemical Engineering,N,Non-Resident,,630,560,550,,,,,,
6026,1497776,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,F,Foreign,,710,550,600,,,,,,
3582,1497010,2016,Academic Year 2015-2016,Fall 2015,PP,Pre-Pharmacy,N,Non-Resident,83,740,630,610,34,33,27,33,32,31
3834,1513813,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,N,Non-Resident,,,,,34,29,35,32,33,33
5407,1500561,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,,,,,26,27,28,26,27,25
2404,1525459,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,F,Foreign,,730,630,460,,,,,,
2054,1433498,2016,Academic Year 2015-2016,Fall 2015,US,Exploratory Studies,R,Resident,,600,630,620,28,27,28,25,27,27
6342,1542389,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,F,Foreign,,670,610,630,,,,,,
1877,1376024,2016,Academic Year 2015-2016,Fall 2015,IE,School of Industrial Engr,R,Resident,99,600,600,580,22,26,22,25,24,
1240,1463699,2016,Academic Year 2015-2016,Fall 2015,PI,Polytechnic Institute,R,Resident,87,490,480,580,23,20,21,22,22,21
4720,1481799,2016,Academic Year 2015-2016,Fall 2015,M,School of Management,R,Resident,96,580,520,550,25,27,31,27,28,24
3143,1484585,2016,Academic Year 2015-2016,Fall 2015,BE,School of Biomedical Engr,R,Resident,99,620,640,670,32,29,36,36,33,30
4892,1503733,2016,Academic Year 2015-2016,Fall 2015,PP,Pre-Pharmacy,R,Resident,88,590,540,480,25,25,26,24,24,22
81,1460981,2016,Academic Year 2015-2016,Fall 2015,HH,College of Health & Human Sci,R,Resident,,690,700,630,32,30,31,26,30,30
471,1404589,2016,Academic Year 2015-2016,Fall 2015,S,College of Science,R,Resident,97,700,610,760,33,33,36,34,32,30
587,1375092,2016,Academic Year 2015-2016,Fall 2015,E,First Year Engineering,R,Resident,97,620,640,620,32,26,30,26,27,23
